Type,School Name,Received Date,Received Month,Received Year,Completed Date,Completed Month,Country
Pending,dunyaeko,5,March,2020,NA,NA,Turkey
Pending,Viva Lingua Cursos,5,March,2020,NA,NA,Brazil
Pending,skylanguage.online,4,March,2020,NA,NA,Russian Federation
Pending,COLEGIO INCAP,4,March,2020,NA,NA,Colombia
Accepted,What’s Up School,3,March,2020,NA,NA,Brazil
Accepted,Link o Inglês com seu Mundo,3,March,2020,NA,NA,Brazil
Processed,Liberty English Course,2,March,2020,4,March,Brazil
Processed,Blueway Idiom Center,27,February,2020,2,March,Brazil
Processed,Idiomas Four ,27,February,2020,2,March,Brazil
Processed,ENGLISH LIGHTHOUSE,27,February,2020,2,March,Spain
Processed,Berlitz University,26,February,2020,2,March,Colombia
Processed,Rangsit University,26,February,2020,2,March,Thailand
Processed,CAMBRIDGE INSTITUTO DE INGLES,26,February,2020,2,March,Mexico
Processed,Expression Languages,22,February,2020,2,March,Brazil
Processed,One To One English,21,February,2020,2,March,Mexico
Processed,ELLC Exclusive,21,February,2020,28,February,Brazil
Processed,Fly Eagle English School,21,February,2020,28,February,Brazil
Processed,Jackson English School,20,February,2020,28,February,Mexico
Processed,Dunya Eko-Turkey,19,February,2020,28,February,Turkey
Processed,NEP English School,19,February,2020,27,February,Spain
Processed,Academia Altimira Cerdanyola,19,February,2020,28,February,Spain
Processed,ENGLISH HOUSE,19,February,2020,4,March,Japan
Processed,UNEA CHIHUAHUA,19,February,2020,27,February,Mexico
Processed,UTAN INDUSTRIAS,19,February,2020,27,February,Mexico
Processed,SEED CARATINGA,18,February,2020,28,February,Brazil
Processed,UNEA FLORIDO,18,February,2020,26,February,Mexico
Processed,UVG VILLAHERMOSA,18,February,2020,26,February,Mexico
Processed,REDALIAT,18,February,2020,26,February,Mexico
Processed,UVG COATZACOALCOS,18,February,2020,25,February,Mexico
Processed,UNEA SALTILLO,18,February,2020,25,February,Mexico
Processed,UTAN SAUCITO,18,February,2020,25,February,Mexico
Processed,ETAC TULANCINGO,18,February,2020,24,February,Mexico
Processed,Pacific English Study,17,February,2020,24,February,Australia
Processed,ETAC TLALNEPANTLA,14,February,2020,20,February,Mexico
Processed,Universidad Politecnica de Queretaro,14,February,2020,21,February,Mexico
Processed,IMPARH,13,February,2020,21,February,Brazil
Processed,Windsor Academy-Santa Rosa Branch,11,February,2020,20,February,Ecuador
Processed,gsl schoolof english,8,February,2020,19,February,Argentina
Processed,Italy Internal Demo Account,7,February,2020,19,February,Italy
Processed,UP EXPERIENCE,6,February,2020,18,February,Brazil
Processed,Hoogekraal,5,February,2020,17,February,South Africa
Processed,"Cambridge Academy of Languages, Pasto",4,February,2020,7,February,Colombia
Processed,Speakeasy Escola de Idiomas,3,February,2020,17,February,Brazil
Processed,UVG TUXTLA / COORDINACIÓN DE IDIOMAS,30,January,2020,14,February,Mexico
Processed,CED,29,January,2020,12,February,Guatemala
Processed,Universidad Valle del Grijalva Campus Pichucalco,29,January,2020,12,February,Mexico
Processed,Coordinación Académica de Idiomas / UVG Tapachula,29,January,2020,10,February,Mexico
Processed,CAMBRIDGEMEXICO,29,January,2020,14,February,Mexico
Processed,UNEA Universidad de Estudios Avanzados Campus MXL,29,January,2020,10,February,Mexico
Processed,Universidad Valle del Grijalva  - Campus Comitán -,29,January,2020,7,February,Mexico
Processed,AIP Language Institute,29,January,2020,3,February,Spain
Processed,ETAC Campus Coacalco,28,January,2020,31,January,Mexico
Processed,Prepa_Motolinia,27,January,2020,5,February,Mexico
Processed,Windsor Pasaje,26,January,2020,5,February,Ecuador
Processed,WINDSOR ACADEMY HUAQUILLAS,22,January,2020,31,January,Ecuador
Processed,Training Mexico Test School,22,January,2020,3,February,Mexico
Processed,universidad autonoma de tamaulipas,22,January,2020,29,January,Mexico
Processed,Friends Language Center,21,January,2020,29,January,Brazil
Processed,Colombia training,21,January,2020,27,January,Colombia
Processed,English2Go,20,January,2020,27,January,Spain
Processed,LORI: The English Studio,18,January,2020,24,January,Spain
Processed,Inter Up Idiomas,18,January,2020,24,January,Brazil
Processed,Universidad Autonoma de Ciudad Juarez - SULE,15,January,2020,22,January,Mexico
Processed,Colégio SESI Internacional de Curitiba,15,January,2020,22,January,Brazil
Processed,What About Idiomas,15,January,2020,20,January,Brazil
Processed,INSTITUTO MEXICO TEPIC,13,January,2020,20,January,Mexico
Processed,Colégio Sesi Internacional de Cascavel,11,January,2020,17,January,Brazil
Processed,Trinity Language School,10,January,2020,17,January,Spain
Processed,Naresuan University Graduate School,10,January,2020,15,January,Thailand
Processed,Seed João Monlevade,9,January,2020,15,January,Brazil
Processed,CAMBRIDGE SCHOOL 1,9,January,2020,13,January,Mexico
Processed,Instituto El Rosario,9,January,2020,13,January,Mexico
Processed,SENAC-RS,4,January,2020,8,January,Brazil
Processed,instituto superior tecnológico espíritu santo,11,December,2019,16,December,Ecuador
Processed,Academia Millington Drake,10,December,2019,13,December,Spain
Processed,Esogu131,10,December,2019,13,December,Turkey
Processed,BRINGO ACADEMY,7,December,2019,11,December,Ecuador
Processed,Cambridge University Press Naples,5,December,2019,6,December,Italy
Processed,Good Times - Escola de Idiomas,3,December,2019,6,December,Brazil
Processed,Korean Nazarene University,29,November,2019,2,December,"Korea, Republic of"
Processed,AMANDA'S ENGLISH,27,November,2019,2,December,Spain
Processed,Zeppelin Escola de Idiomas,26,November,2019,29,November,Brazil
Processed,Corderius,22,November,2019,27,November,Netherlands
Processed,Marecollege,22,November,2019,27,November,Netherlands
Processed,Galatasaray High School,21,November,2019,25,November,Turkey
Processed,Edulink,13,November,2019,15,November,Myanmar
Processed,UNEA AGUASCALIENTES,12,November,2019,15,November,Mexico
Processed,TURKEY TEST COLLEGE,11,November,2019,15,November,Turkey
Processed,Native Connection,11,November,2019,13,November,Bulgaria
Processed,AKDAG EDUCATION,8,November,2019,11,November,Turkey
Processed,Zingle School of English,30,October,2019,4,November,United States
Processed,Babel idiomas,29,October,2019,4,November,Brazil
Processed,APPROACH INTERNATIONAL STUDENT CENTER,24,October,2019,31,October,United States
Processed,Your English School Melzo e Cernusco s/N,23,October,2019,31,October,Italy
Processed,Go Geo,22,October,2019,29,October,Brazil
Processed,Your English School - Milano,21,October,2019,25,October,Italy
Processed,AMEC,21,October,2019,29,October,Ecuador
Processed,GREAT ENGLISH EXPERIENCE EDUCATION,20,October,2019,25,October,Ecuador
Processed,padumachado,18,October,2019,23,October,Brazil
Processed,Global School,18,October,2019,23,October,Spain
Processed,Hirosaki University,17,October,2019,21,October,Japan
Cancelled,dddd,1,March,2020,2,March,Thailand
Cancelled,WINDSOR ACADEMY PASAJE,27,February,2020,4,March,Ecuador
Cancelled,Erick's school ,24,February,2020,27,February,Mexico
Cancelled,Cambridge,24,February,2020,24,February,Brazil
Cancelled,MQA Test Auto Cambridge,11,February,2020,12,February,United Kingdom
Cancelled,MQA University testing only,11,February,2020,12,February,Philippines
Cancelled,CED QUETZALTENANGO,10,February,2020,19,February,Guatemala
Cancelled,Compro Testing Institutions - 2,6,February,2020,6,February,India
Cancelled,Mexico training school,3,February,2020,3,February,Mexico
Cancelled,Yulia's test school ,28,January,2020,30,January,Russian Federation
Cancelled,Rep,28,January,2020,31,January,Brazil
Cancelled,Santa Maria Sanchez,25,January,2020,27,January,Spain
Cancelled,Sherwin School,21,January,2020,23,January,Philippines
Cancelled,Seed Idiomas Monlevade,18,January,2020,24,January,Brazil
Cancelled,MQA Release 49 University (to reject),9,January,2020,10,January,Philippines
Cancelled,MQA Release 49 Language School (to delete),9,January,2020,9,January,Philippines
Cancelled,test,21,November,2019,22,November,United Kingdom
Cancelled,test,5,November,2019,6,November,United Kingdom
Cancelled,MISIS,4,November,2019,4,November,Russian Federation
Cancelled,Your English School,30,October,2019,11,November,Italy
Cancelled,Happy English,17,October,2019,17,October,Russian Federation
Cancelled,Happy English,17,October,2019,17,October,Russian Federation
Cancelled,MQA,17,October,2019,17,October,Philippines
Cancelled,asdf,17,October,2019,17,October,Russian Federation
Cancelled,MQA School 01,17,October,2019,17,October,United Kingdom
Cancelled,MQA Test,17,October,2019,17,October,Philippines
Cancelled,al qud,17,October,2019,17,October,"Palestinian Territory, Occupied"
Cancelled,MQA Test School,17,October,2019,17,October,Philippines
Cancelled,comproqa2,17,October,2019,17,October,United States
Cancelled,Compro QA school2,17,October,2019,17,October,India
Cancelled,ComproQA School 1,17,October,2019,17,October,United States
